Year,State,Commodity,Data Item,Value,price,price_index,inflation_rate (compared to 2021),real_price_2021
2021,CALIFORNIA,WALNUTS,"WALNUTS, ENGLISH - PRICE RECEIVED, MEASURED IN $ / TON","1,410",1554.258947,265.51,0,1554.258947
2020,CALIFORNIA,WALNUTS,"WALNUTS, ENGLISH - PRICE RECEIVED, MEASURED IN $ / TON","1,200",1322.773572,252.248,5.257524341,1256.702151
2019,CALIFORNIA,WALNUTS,"WALNUTS, ENGLISH - PRICE RECEIVED, MEASURED IN $ / TON","1,890",2083.368376,249.222,6.535538596,1955.561875
2018,CALIFORNIA,WALNUTS,"WALNUTS, ENGLISH - PRICE RECEIVED, MEASURED IN $ / TON","1,350",1488.120269,245.146,8.306886508,1373.984902
2017,CALIFORNIA,WALNUTS,"WALNUTS, ENGLISH - PRICE RECEIVED, MEASURED IN $ / TON","2,490",2744.755162,239.051,11.06834943,2471.230711
2016,CALIFORNIA,WALNUTS,"WALNUTS, ENGLISH - PRICE RECEIVED, MEASURED IN $ / TON","1,850",2039.275924,234.076,13.42897179,1797.843965
2015,CALIFORNIA,WALNUTS,"WALNUTS, ENGLISH - PRICE RECEIVED, MEASURED IN $ / TON","1,670",1840.859888,231.81,14.537768,1607.207753
2014,CALIFORNIA,WALNUTS,"WALNUTS, ENGLISH - PRICE RECEIVED, MEASURED IN $ / TON","3,340",3681.719775,232.771,14.0648964,3227.741305
2013,CALIFORNIA,WALNUTS,"WALNUTS, ENGLISH - PRICE RECEIVED, MEASURED IN $ / TON","3,710",4089.57496,229.324,15.77942126,3532.212301
2012,CALIFORNIA,WALNUTS,"WALNUTS, ENGLISH - PRICE RECEIVED, MEASURED IN $ / TON","3,030",3340.003269,226.229,17.36337958,2845.864938
2011,CALIFORNIA,WALNUTS,"WALNUTS, ENGLISH - PRICE RECEIVED, MEASURED IN $ / TON","2,900",3196.702799,221.575,19.82850051,2667.731621
2010,CALIFORNIA,WALNUTS,"WALNUTS, ENGLISH - PRICE RECEIVED, MEASURED IN $ / TON","2,040",2248.715072,213.967,24.08922871,1812.17588
2009,CALIFORNIA,WALNUTS,"WALNUTS, ENGLISH - PRICE RECEIVED, MEASURED IN $ / TON","1,710",1884.95234,209.63,26.65649001,1488.239837
2008,CALIFORNIA,WALNUTS,"WALNUTS, ENGLISH - PRICE RECEIVED, MEASURED IN $ / TON","1,280",1410.958477,211.053,25.80252354,1121.566116
2007,CALIFORNIA,WALNUTS,"WALNUTS, ENGLISH - PRICE RECEIVED, MEASURED IN $ / TON","2,290",2524.2929,202.767,30.94339809,1927.774089
2006,CALIFORNIA,WALNUTS,"WALNUTS, ENGLISH - PRICE RECEIVED, MEASURED IN $ / TON","1,630",1796.767435,197.142,34.67957107,1334.105404
2005,CALIFORNIA,WALNUTS,"WALNUTS, ENGLISH - PRICE RECEIVED, MEASURED IN $ / TON","1,570",1730.628757,190.975,39.02866867,1244.79992
2004,CALIFORNIA,WALNUTS,"WALNUTS, ENGLISH - PRICE RECEIVED, MEASURED IN $ / TON","1,390",1532.212721,184.483,43.9211201,1064.619786
2003,CALIFORNIA,WALNUTS,"WALNUTS, ENGLISH - PRICE RECEIVED, MEASURED IN $ / TON","1,160",1278.68112,179.808,47.66306282,865.9451424
2002,CALIFORNIA,WALNUTS,"WALNUTS, ENGLISH - PRICE RECEIVED, MEASURED IN $ / TON","1,170",1289.704233,175.875,50.96517413,854.3057961
2001,CALIFORNIA,WALNUTS,"WALNUTS, ENGLISH - PRICE RECEIVED, MEASURED IN $ / TON","1,120",1234.588667,173.517,53.0167073,806.832593
2000,CALIFORNIA,WALNUTS,"WALNUTS, ENGLISH - PRICE RECEIVED, MEASURED IN $ / TON","1,240",1366.866024,168.892,57.2069725,869.4690844
2021,CALIFORNIA,ALMONDS,"ALMONDS - PRICE RECEIVED, MEASURED IN $ / LB",1.76,3880.135811,265.51,0,3880.135811
2020,CALIFORNIA,ALMONDS,"ALMONDS - PRICE RECEIVED, MEASURED IN $ / LB",1.71,3769.90468,252.248,5.257524341,3581.601129
2019,CALIFORNIA,ALMONDS,"ALMONDS - PRICE RECEIVED, MEASURED IN $ / LB",2.45,5401.325419,249.222,6.535538596,5069.975231
2018,CALIFORNIA,ALMONDS,"ALMONDS - PRICE RECEIVED, MEASURED IN $ / LB",2.5,5511.55655,245.146,8.306886508,5088.832971
2017,CALIFORNIA,ALMONDS,"ALMONDS - PRICE RECEIVED, MEASURED IN $ / LB",2.53,5577.695229,239.051,11.06834943,5021.858394
2016,CALIFORNIA,ALMONDS,"ALMONDS - PRICE RECEIVED, MEASURED IN $ / LB",2.39,5269.048062,234.076,13.42897179,4645.240082
2015,CALIFORNIA,ALMONDS,"ALMONDS - PRICE RECEIVED, MEASURED IN $ / LB",3.13,6900.468801,231.81,14.537768,6024.623075
2014,CALIFORNIA,ALMONDS,"ALMONDS - PRICE RECEIVED, MEASURED IN $ / LB",4,8818.49048,232.771,14.0648964,7731.116898
2013,CALIFORNIA,ALMONDS,"ALMONDS - PRICE RECEIVED, MEASURED IN $ / LB",3.21,7076.83861,229.324,15.77942126,6112.345815
2012,CALIFORNIA,ALMONDS,"ALMONDS - PRICE RECEIVED, MEASURED IN $ / LB",2.58,5687.92636,226.229,17.36337958,4846.423458
2011,CALIFORNIA,ALMONDS,"ALMONDS - PRICE RECEIVED, MEASURED IN $ / LB",1.99,4387.199014,221.575,19.82850051,3661.231673
2010,CALIFORNIA,ALMONDS,"ALMONDS - PRICE RECEIVED, MEASURED IN $ / LB",1.79,3946.27449,213.967,24.08922871,3180.191005
2009,CALIFORNIA,ALMONDS,"ALMONDS - PRICE RECEIVED, MEASURED IN $ / LB",1.65,3637.627323,209.63,26.65649001,2872.04179
2008,CALIFORNIA,ALMONDS,"ALMONDS - PRICE RECEIVED, MEASURED IN $ / LB",1.45,3196.702799,211.053,25.80252354,2541.048231
2007,CALIFORNIA,ALMONDS,"ALMONDS - PRICE RECEIVED, MEASURED IN $ / LB",1.75,3858.089585,202.767,30.94339809,2946.379612
2006,CALIFORNIA,ALMONDS,"ALMONDS - PRICE RECEIVED, MEASURED IN $ / LB",2.06,4541.522597,197.142,34.67957107,3372.09464
2005,CALIFORNIA,ALMONDS,"ALMONDS - PRICE RECEIVED, MEASURED IN $ / LB",2.81,6194.989562,190.975,39.02866867,4455.907995
2004,CALIFORNIA,ALMONDS,"ALMONDS - PRICE RECEIVED, MEASURED IN $ / LB",2.21,4872.21599,184.483,43.9211201,3385.337737
2003,CALIFORNIA,ALMONDS,"ALMONDS - PRICE RECEIVED, MEASURED IN $ / LB",1.57,3461.257513,179.808,47.66306282,2344.02392
2002,CALIFORNIA,ALMONDS,"ALMONDS - PRICE RECEIVED, MEASURED IN $ / LB",1.11,2447.131108,175.875,50.96517413,1620.990485
2001,CALIFORNIA,ALMONDS,"ALMONDS - PRICE RECEIVED, MEASURED IN $ / LB",0.91,2006.206584,173.517,53.0167073,1311.102964
2000,CALIFORNIA,ALMONDS,"ALMONDS - PRICE RECEIVED, MEASURED IN $ / LB",0.97,2138.483941,168.892,57.2069725,1360.298406
2021,CALIFORNIA,RICE,"RICE - PRICE RECEIVED, MEASURED IN $ / CWT",32,629.8927411,265.51,0,629.8927411
2020,CALIFORNIA,RICE,"RICE - PRICE RECEIVED, MEASURED IN $ / CWT",22.8,448.798578,252.248,5.257524341,426.3814685
2019,CALIFORNIA,RICE,"RICE - PRICE RECEIVED, MEASURED IN $ / CWT",21.8,429.1144299,249.222,6.535538596,402.789938
2018,CALIFORNIA,RICE,"RICE - PRICE RECEIVED, MEASURED IN $ / CWT",21.3,419.2723558,245.146,8.306886508,387.1151404
2017,CALIFORNIA,RICE,"RICE - PRICE RECEIVED, MEASURED IN $ / CWT",20.3,399.5882076,239.051,11.06834943,359.7678454
2016,CALIFORNIA,RICE,"RICE - PRICE RECEIVED, MEASURED IN $ / CWT",14.3,281.4833187,234.076,13.42897179,248.1582212
2015,CALIFORNIA,RICE,"RICE - PRICE RECEIVED, MEASURED IN $ / CWT",18.4,362.1883261,231.81,14.537768,316.2173774
2014,CALIFORNIA,RICE,"RICE - PRICE RECEIVED, MEASURED IN $ / CWT",21.8,429.1144299,232.771,14.0648964,376.2020073
2013,CALIFORNIA,RICE,"RICE - PRICE RECEIVED, MEASURED IN $ / CWT",20.9,411.3986965,229.324,15.77942126,355.3297227
2012,CALIFORNIA,RICE,"RICE - PRICE RECEIVED, MEASURED IN $ / CWT",18.6,366.1251558,226.229,17.36337958,311.9585999
2011,CALIFORNIA,RICE,"RICE - PRICE RECEIVED, MEASURED IN $ / CWT",18.6,366.1251558,221.575,19.82850051,305.5409641
2010,CALIFORNIA,RICE,"RICE - PRICE RECEIVED, MEASURED IN $ / CWT",21,413.3671113,213.967,24.08922871,333.1208644
2009,CALIFORNIA,RICE,"RICE - PRICE RECEIVED, MEASURED IN $ / CWT",19.6,385.8093039,209.63,26.65649001,304.6107656
2008,CALIFORNIA,RICE,"RICE - PRICE RECEIVED, MEASURED IN $ / CWT",27.5,541.3140744,211.053,25.80252354,430.2887249
2007,CALIFORNIA,RICE,"RICE - PRICE RECEIVED, MEASURED IN $ / CWT",16.2,318.8832002,202.767,30.94339809,243.5275125
2006,CALIFORNIA,RICE,"RICE - PRICE RECEIVED, MEASURED IN $ / CWT",13,255.8939261,197.142,34.67957107,190.0020352
2005,CALIFORNIA,RICE,"RICE - PRICE RECEIVED, MEASURED IN $ / CWT",10.1,198.8098964,190.975,39.02866867,142.9992089
2004,CALIFORNIA,RICE,"RICE - PRICE RECEIVED, MEASURED IN $ / CWT",7.34,144.4816475,184.483,43.9211201,100.3894685
2003,CALIFORNIA,RICE,"RICE - PRICE RECEIVED, MEASURED IN $ / CWT",10.4,204.7151408,179.808,47.66306282,138.6366617
2002,CALIFORNIA,RICE,"RICE - PRICE RECEIVED, MEASURED IN $ / CWT",6.32,124.4038164,175.875,50.96517413,82.40563897
2001,CALIFORNIA,RICE,"RICE - PRICE RECEIVED, MEASURED IN $ / CWT",5.28,103.9323023,173.517,53.0167073,67.92219236
2000,CALIFORNIA,RICE,"RICE - PRICE RECEIVED, MEASURED IN $ / CWT",4.99,98.22389931,168.892,57.2069725,62.48062522